ts_utc,gpu_index,gpu_name,gpu_uuid,temp_c,power_w,power_limit_w,util_gpu_pct,util_mem_pct,sm_clock_mhz,mem_clock_mhz,mem_used_mb,mem_total_mb,pstate
2026-02-23T17:56:03+00:00,0,,,30,76.035,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:04+00:00,0,,,30,76.006,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:05+00:00,0,,,30,76.061,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:06+00:00,0,,,30,76.063,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:07+00:00,0,,,30,76.068,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:08+00:00,0,,,30,76.033,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:09+00:00,0,,,30,76.07,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:10+00:00,0,,,30,76.059,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:11+00:00,0,,,30,76.004,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:12+00:00,0,,,30,76.052,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:13+00:00,0,,,30,76.077,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:14+00:00,0,,,30,76.082,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:15+00:00,0,,,30,76.096,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:16+00:00,0,,,30,76.033,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:17+00:00,0,,,30,76.097,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:18+00:00,0,,,30,76.068,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:19+00:00,0,,,30,76.058,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:20+00:00,0,,,30,76.026,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:21+00:00,0,,,30,76.047,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:22+00:00,0,,,30,76.021,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:23+00:00,0,,,30,76.031,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:24+00:00,0,,,30,76.028,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:25+00:00,0,,,30,76.02,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:26+00:00,0,,,30,76.014,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:27+00:00,0,,,30,76.084,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:28+00:00,0,,,30,76.017,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:29+00:00,0,,,30,76.068,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:30+00:00,0,,,30,76.041,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:31+00:00,0,,,30,76.03,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:32+00:00,0,,,30,76.086,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:33+00:00,0,,,30,76.059,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:34+00:00,0,,,30,76.085,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:35+00:00,0,,,30,76.014,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:36+00:00,0,,,30,76.063,700.0,0,0,345,3201,604.6875,143771.0,0
2026-02-23T17:56:37+00:00,0,,,30,76.096,700.0,0,0,345,3201,604.6875,143771.0,0
